"section","group","Treatment","Height","water","fertiliser"
"Tues_am","31418","W+/F+",11.4,"+","+"
"Tues_am","31418","W+/F+",13.7,"+","+"
"Tues_am","31418","W+/F+",14.1,"+","+"
"Tues_am","31418","W+/FC",14.9,"+","-"
"Tues_am","31418","W+/FC",15.7,"+","-"
"Tues_am","31418","W+/FC",15.8,"+","-"
"Tues_am","31418","W+/FC",16.2,"+","-"
"Tues_am","31418","W+/FC",16.6,"+","-"
"Tues_am","31418","WC/F+",13.4,"-","+"
"Tues_am","31418","WC/FC",8.5,"-","-"
"Tues_am","31418","WC/FC",11,"-","-"
"Tues_am","31418","WC/FC",11.5,"-","-"
"Tues_am","31418","WC/FC",11.7,"-","-"
"Tues_am","31418","WC/FC",14,"-","-"
"Tues_am","Angry Flowerman","W+/F+",8.2,"+","+"
"Tues_am","Angry Flowerman","W+/F+",13.2,"+","+"
"Tues_am","Angry Flowerman","W+/FC",11.9,"+","-"
"Tues_am","Angry Flowerman","W+/FC",12.8,"+","-"
"Tues_am","Angry Flowerman","W+/FC",12.9,"+","-"
"Tues_am","Angry Flowerman","W+/FC",13.1,"+","-"
"Tues_am","Angry Flowerman","WC/F+",8.7,"-","+"
"Tues_am","Angry Flowerman","WC/F+",10.9,"-","+"
"Tues_am","Angry Flowerman","WC/FC",12,"-","-"
"Tues_am","Angry Flowerman","WC/FC",13,"-","-"
"Tues_am","Angry Flowerman","WC/FC",13.5,"-","-"
"Tues_am","Angry Flowerman","WC/FC",14.2,"-","-"
"Tues_am","DGJ","W+/F+",6.9,"+","+"
"Tues_am","DGJ","W+/F+",13.8,"+","+"
"Tues_am","DGJ","W+/F+",14.9,"+","+"
"Tues_am","DGJ","W+/F+",15.3,"+","+"
"Tues_am","DGJ","W+/FC",10.8,"+","-"
"Tues_am","DGJ","W+/FC",13.8,"+","-"
"Tues_am","DGJ","W+/FC",15.1,"+","-"
"Tues_am","DGJ","W+/FC",15.1,"+","-"
"Tues_am","DGJ","W+/FC",15.5,"+","-"
"Tues_am","DGJ","WC/FC",6.7,"-","-"
"Tues_am","DGJ","WC/FC",9.7,"-","-"
"Tues_am","DGJ","WC/FC",10.2,"-","-"
"Tues_am","DGJ","WC/FC",10.3,"-","-"
"Tues_am","GCB","W+/F+",9.5,"+","+"
"Tues_am","GCB","W+/F+",9.7,"+","+"
"Tues_am","GCB","W+/F+",11.5,"+","+"
"Tues_am","GCB","W+/F+",14,"+","+"
"Tues_am","GCB","W+/F+",14,"+","+"
"Tues_am","GCB","W+/FC",13.3,"+","-"
"Tues_am","GCB","W+/FC",14.7,"+","-"
"Tues_am","GCB","W+/FC",15.5,"+","-"
"Tues_am","GCB","W+/FC",17.1,"+","-"
"Tues_am","GCB","W+/FC",17.5,"+","-"
"Tues_am","GCB","WC/F+",3,"-","+"
"Tues_am","GCB","WC/FC",5,"-","-"
"Tues_am","GCB","WC/FC",5.5,"-","-"
"Tues_am","GCB","WC/FC",5.7,"-","-"
"Tues_am","GCB","WC/FC",7,"-","-"
"Tues_am","GCB","WC/FC",8.1,"-","-"
"Tues_am","HID","W+/F+",6.1,"+","+"
"Tues_am","HID","W+/F+",9.1,"+","+"
"Tues_am","HID","W+/F+",9.4,"+","+"
"Tues_am","HID","W+/F+",10,"+","+"
"Tues_am","HID","W+/FC",12.7,"+","-"
"Tues_am","HID","W+/FC",15.1,"+","-"
"Tues_am","HID","W+/FC",17.6,"+","-"
"Tues_am","HID","W+/FC",19.6,"+","-"
"Tues_am","HID","WC/F+",5.5,"-","+"
"Tues_am","HID","WC/F+",5.7,"-","+"
"Tues_am","HID","WC/FC",9.8,"-","-"
"Tues_am","HID","WC/FC",10.9,"-","-"
"Tues_am","HID","WC/FC",11.2,"-","-"
"Tues_am","HID","WC/FC",12.1,"-","-"
"Tues_am","Lamp","W+/F+",6.5,"+","+"
"Tues_am","Lamp","W+/F+",8.1,"+","+"
"Tues_am","Lamp","W+/F+",10.1,"+","+"
"Tues_am","Lamp","W+/F+",10.3,"+","+"
"Tues_am","Lamp","W+/F+",12.4,"+","+"
"Tues_am","Lamp","W+/F+",12.5,"+","+"
"Tues_am","Lamp","W+/F+",13.1,"+","+"
"Tues_am","Lamp","W+/F+",13.9,"+","+"
"Tues_am","Lamp","W+/F+",14.8,"+","+"
"Tues_am","Lamp","W+/F+",14.9,"+","+"
"Tues_am","Lamp","W+/F+",15.4,"+","+"
"Tues_am","Lamp","WC/FC",6,"-","-"
"Tues_am","Lamp","WC/FC",6.7,"-","-"
"Tues_am","Lamp","WC/FC",7.9,"-","-"
"Tues_am","Lamp","WC/FC",8,"-","-"
"Tues_am","Lamp","WC/FC",10.4,"-","-"
"Tues_am","PCS","W+/F+",1.2,"+","+"
"Tues_am","PCS","W+/F+",4.5,"+","+"
"Tues_am","PCS","W+/F+",11.4,"+","+"
"Tues_am","PCS","W+/FC",10.2,"+","-"
"Tues_am","PCS","W+/FC",12.3,"+","-"
"Tues_am","PCS","W+/FC",13.7,"+","-"
"Tues_am","PCS","W+/FC",14.4,"+","-"
"Tues_am","PCS","W+/FC",17.9,"+","-"
"Tues_am","PCS","WC/FC",0.5,"-","-"
"Tues_am","PCS","WC/FC",3.5,"-","-"
"Tues_am","PCS","WC/FC",6,"-","-"
"Tues_am","PCS","WC/FC",7,"-","-"
"Tues_am","PCS","WC/FC",9,"-","-"
"Tues_am","RAS","W+/F+",0.7,"+","+"
"Tues_am","RAS","W+/F+",11.9,"+","+"
"Tues_am","RAS","W+/F+",15.2,"+","+"
"Tues_am","RAS","W+/FC",10.1,"+","-"
"Tues_am","RAS","W+/FC",13.8,"+","-"
"Tues_am","RAS","W+/FC",14.9,"+","-"
"Tues_am","RAS","W+/FC",15.5,"+","-"
"Tues_am","RAS","W+/FC",15.6,"+","-"
"Tues_am","RAS","WC/F+",4.9,"-","+"
"Tues_am","RAS","WC/F+",8.1,"-","+"
"Tues_am","RAS","WC/F+",8.4,"-","+"
"Tues_am","RAS","WC/F+",8.5,"-","+"
"Tues_am","RAS","WC/FC",4.6,"-","-"
"Tues_am","RAS","WC/FC",4.6,"-","-"
"Tues_am","RAS","WC/FC",7.8,"-","-"
"Tues_am","RPS","W+/F+",7.8,"+","+"
"Tues_am","RPS","W+/F+",16.4,"+","+"
"Tues_am","RPS","W+/FC",13.5,"+","-"
"Tues_am","RPS","W+/FC",14.1,"+","-"
"Tues_am","RPS","W+/FC",15.6,"+","-"
"Tues_am","RPS","W+/FC",15.9,"+","-"
"Tues_am","RPS","W+/FC",16.4,"+","-"
"Tues_am","RPS","WC/F+",8.9,"-","+"
"Tues_am","RPS","WC/F+",11.1,"-","+"
"Tues_am","RPS","WC/FC",6.6,"-","-"
"Tues_am","RPS","WC/FC",9.6,"-","-"
"Tues_am","SNT","W+/F+",12.9,"+","+"
"Tues_am","SNT","W+/FC",3.6,"+","-"
"Tues_am","SNT","W+/FC",5.4,"+","-"
"Tues_am","SNT","WC/F+",2,"-","+"
"Tues_am","SNT","WC/FC",2,"-","-"
"Tues_am","SNT","WC/FC",3,"-","-"
"Tues_am","SSK","W+/F+",13,"+","+"
"Tues_am","SSK","W+/F+",13.5,"+","+"
"Tues_am","SSK","W+/F+",16,"+","+"
"Tues_am","SSK","W+/F+",18.5,"+","+"
"Tues_am","SSK","W+/F+",19,"+","+"
"Tues_am","SSK","W+/FC",13.5,"+","-"
"Tues_am","SSK","W+/FC",14,"+","-"
"Tues_am","SSK","W+/FC",14.1,"+","-"
"Tues_am","SSK","W+/FC",15.5,"+","-"
"Tues_am","SSK","W+/FC",16,"+","-"
"Tues_am","SSK","WC/F+",4.6,"-","+"
"Tues_am","SSK","WC/F+",8.7,"-","+"
"Tues_am","SSK","WC/F+",9,"-","+"
"Tues_am","SSK","WC/FC",11,"-","-"
"Tues_am","SSK","WC/FC",12,"-","-"
"Tues_am","SSK","WC/FC",13,"-","-"
"Tues_am","ULA","W+/F+",6.9,"+","+"
"Tues_am","ULA","W+/F+",7.3,"+","+"
"Tues_am","ULA","W+/FC",11.7,"+","-"
"Tues_am","ULA","W+/FC",15.3,"+","-"
"Tues_am","ULA","W+/FC",16.2,"+","-"
"Tues_am","ULA","W+/FC",16.3,"+","-"
"Tues_am","ULA","W+/FC",16.5,"+","-"
"Tues_am","ULA","WC/F+",1.9,"-","+"
"Tues_am","ULA","WC/F+",6.4,"-","+"
"Tues_am","ULA","WC/FC",10.5,"-","-"
"Tues_am","ULA","WC/FC",11.1,"-","-"
"Tues_am","ULA","WC/FC",11.5,"-","-"
"Tues_am","ULA","WC/FC",11.6,"-","-"
"Tues_am","ULA","WC/FC",13.3,"-","-"
"Tues_am","?","W+/F+",15.1,"+","+"
"Tues_am","?","W+/F+",15.3,"+","+"
"Tues_am","?","W+/FC",14.6,"+","-"
"Tues_am","?","W+/FC",15,"+","-"
"Tues_am","?","W+/FC",15.6,"+","-"
"Tues_am","?","W+/FC",16.9,"+","-"
"Tues_am","?","W+/FC",18.8,"+","-"
"Tues_am","?","WC/F+",3.3,"-","+"
"Tues_am","?","WC/F+",5.2,"-","+"
"Tues_am","?","WC/F+",5.9,"-","+"
"Tues_am","?","WC/FC",4.8,"-","-"
"Tues_am","?","WC/FC",5.2,"-","-"
"Tues_am","?","WC/FC",6.1,"-","-"
"wed_1pm","AES","W+/F+",5.2,"+","+"
"wed_1pm","AES","W+/F+",6.5,"+","+"
"wed_1pm","AES","W+/F+",7.5,"+","+"
"wed_1pm","AES","W+/F+",10.6,"+","+"
"wed_1pm","AES","W+/FC",4.7,"+","-"
"wed_1pm","AES","W+/FC",7,"+","-"
"wed_1pm","AES","W+/FC",11.8,"+","-"
"wed_1pm","AES","W+/FC",12.1,"+","-"
"wed_1pm","AES","W+/FC",12.4,"+","-"
"wed_1pm","AES","WC/F+",2.1,"-","+"
"wed_1pm","AES","WC/F+",5.8,"-","+"
"wed_1pm","AES","WC/F+",10.3,"-","+"
"wed_1pm","AES","WC/F+",10.7,"-","+"
"wed_1pm","AES","WC/FC",7,"-","-"
"wed_1pm","AES","WC/FC",9.7,"-","-"
"wed_1pm","AES","WC/FC",10,"-","-"
"wed_1pm","AES","WC/FC",11.5,"-","-"
"wed_1pm","A-Team","W+/F+",12,"+","+"
"wed_1pm","A-Team","W+/F+",13,"+","+"
"wed_1pm","A-Team","W+/F+",17.5,"+","+"
"wed_1pm","A-Team","W+/FC",9.5,"+","-"
"wed_1pm","A-Team","W+/FC",13,"+","-"
"wed_1pm","A-Team","W+/FC",13.5,"+","-"
"wed_1pm","A-Team","W+/FC",13.5,"+","-"
"wed_1pm","A-Team","W+/FC",15.5,"+","-"
"wed_1pm","A-Team","WC/F+",9,"-","+"
"wed_1pm","A-Team","WC/F+",11,"-","+"
"wed_1pm","A-Team","WC/F+",11,"-","+"
"wed_1pm","A-Team","WC/F+",13,"-","+"
"wed_1pm","A-Team","WC/FC",9,"-","-"
"wed_1pm","A-Team","WC/FC",9.5,"-","-"
"wed_1pm","A-Team","WC/FC",11,"-","-"
"wed_1pm","A-Team","WC/FC",11.5,"-","-"
"wed_1pm","A-Team","WC/FC",12.5,"-","-"
"wed_1pm","BB","W+/F+",9.8,"+","+"
"wed_1pm","BB","W+/F+",10.6,"+","+"
"wed_1pm","BB","W+/F+",12.5,"+","+"
"wed_1pm","BB","W+/F+",14.5,"+","+"
"wed_1pm","BB","W+/F+",15.3,"+","+"
"wed_1pm","BB","W+/FC",11.3,"+","-"
"wed_1pm","BB","W+/FC",12.3,"+","-"
"wed_1pm","BB","W+/FC",13.7,"+","-"
"wed_1pm","BB","W+/FC",14.6,"+","-"
"wed_1pm","BB","W+/FC",15.3,"+","-"
"wed_1pm","BB","WC/F+",4.2,"-","+"
"wed_1pm","BB","WC/F+",8.4,"-","+"
"wed_1pm","BB","WC/F+",11.2,"-","+"
"wed_1pm","BB","WC/F+",12.3,"-","+"
"wed_1pm","BB","WC/F+",13,"-","+"
"wed_1pm","BB","WC/FC",7.8,"-","-"
"wed_1pm","BB","WC/FC",8.8,"-","-"
"wed_1pm","BB","WC/FC",9.8,"-","-"
"wed_1pm","BB","WC/FC",10.3,"-","-"
"wed_1pm","BB ","WC/FC",9.6,"-","-"
"wed_1pm","JJC","WC/FC",9.5,"-","-"
"wed_1pm","JJC","WC/FC",11,"-","-"
"wed_1pm","JJC","WC/FC",11.2,"-","-"
"wed_1pm","JJC","WC/FC",12.3,"-","-"
"wed_1pm","JJC","WC/FC",12.8,"-","-"
"wed_1pm","JJC","WC/FC",11.6,"-","-"
"wed_1pm","JJC","WC/FC",6,"-","-"
"wed_1pm","JJC","WC/FC",10.8,"-","-"
"wed_1pm","JJC","WC/FC",11.7,"-","-"
"wed_1pm","JJC","WC/FC",2.5,"-","-"
"wed_1pm","JJC","WC/FC",4.8,"-","-"
"wed_1pm","JJC","WC/FC",8.7,"-","-"
"wed_1pm","KPHF","WC/FC",3.7,"-","-"
"wed_1pm","KPHF","WC/FC",4.8,"-","-"
"wed_1pm","KPHF","WC/FC",6.5,"-","-"
"wed_1pm","KPHF","WC/FC",6.8,"-","-"
"wed_1pm","KPHF","WC/FC",7.1,"-","-"
"wed_1pm","KPHF","WC/FC",4.4,"-","-"
"wed_1pm","KPHF","WC/FC",6.8,"-","-"
"wed_1pm","KPHF","WC/FC",11,"-","-"
"wed_1pm","KPHF","WC/FC",11.3,"-","-"
"wed_1pm","KPHF","WC/FC",11.8,"-","-"
"wed_1pm","KPHF","WC/FC",12.7,"-","-"
"wed_1pm","KPHF","WC/FC",4.2,"-","-"
"wed_1pm","KPHF","WC/FC",7.3,"-","-"
"wed_1pm","KPHF","WC/FC",11,"-","-"
"wed_1pm","KPHF","WC/FC",11.6,"-","-"
"wed_1pm","KPHF","WC/FC",12.7,"-","-"
"wed_1pm","LCKJDM","W+/F+",5.4,"+","+"
"wed_1pm","LCKJDM","W+/F+",8.5,"+","+"
"wed_1pm","LCKJDM","W+/F+",12.5,"+","+"
"wed_1pm","LCKJDM","W+/FC",9.2,"+","-"
"wed_1pm","LCKJDM","W+/FC",11.2,"+","-"
"wed_1pm","LCKJDM","W+/FC",12.4,"+","-"
"wed_1pm","LCKJDM","W+/FC",14.4,"+","-"
"wed_1pm","LCKJDM","W+/FC",14.8,"+","-"
"wed_1pm","LCKJDM","WC/F+",4.2,"-","+"
"wed_1pm","LCKJDM","WC/F+",6.3,"-","+"
"wed_1pm","LCKJDM","WC/FC",10.6,"-","-"
"wed_1pm","LCKJDM","WC/FC",13.3,"-","-"
"wed_1pm","LCKJDM","WC/FC",13.4,"-","-"
"wed_1pm","LCKJDM","WC/FC",13.9,"-","-"
"wed_1pm","LCKJDM","WC/FC",15.1,"-","-"
"wed_1pm","LZ","W+/F+",2.5,"+","+"
"wed_1pm","LZ","W+/F+",9.9,"+","+"
"wed_1pm","LZ","W+/F+",10,"+","+"
"wed_1pm","LZ","W+/F+",12.6,"+","+"
"wed_1pm","LZ","W+/FC",1.3,"+","-"
"wed_1pm","LZ","W+/FC",5,"+","-"
"wed_1pm","LZ","W+/FC",11.7,"+","-"
"wed_1pm","LZ","WC/F+",1,"-","+"
"wed_1pm","LZ","WC/F+",2.5,"-","+"
"wed_1pm","LZ","WC/FC",3.2,"-","-"
"wed_1pm","LZ","WC/FC",10,"-","-"
"wed_1pm","LZ","WC/FC",11,"-","-"
"wed_1pm","LZ","WC/FC",11.2,"-","-"
"wed_1pm","LZ","WC/FC",14,"-","-"
"wed_1pm","MMA","WC/FC",9.7,"-","-"
"wed_1pm","MMA","WC/FC",1.2,"-","-"
"wed_1pm","MMA","WC/FC",12.1,"-","-"
"wed_1pm","MMA","WC/FC",12.9,"-","-"
"wed_1pm","MMA","WC/FC",13.1,"-","-"
"wed_1pm","MMA","WC/FC",13.5,"-","-"
"wed_1pm","MMA","WC/FC",0.8,"-","-"
