Height,Depth
11.4,2.5
10.9,2.5
15.0,2.5
12.3,2.5
9.5,2.5
11.0,2.6
10.7,2.6
14.6,2.6
10.4,2.6
8.0,2.7
12.7,2.7
10.5,2.7
9.0,2.7
10.1,2.7
10.2,2.7
8.5,2.8
10.0,2.8
1.5,2.8
14.8,2.8
12.4,2.8
10.7,1.5
8.9,1.5
9.6,1.5
10.0,3.4
9.7,3.5
10.8,3.5
10.6,3.5
3.3,3.5
9.5,3.5
9.0,3.6
9.9,3.6
11.6,3.7
10.0,3.7
5.5,3.8
12.5,3.8
3.7,3.8
0.8,3.8
10.5,3.8
10.5,3.8
11.8,3.9
10.4,2.2
12.0,2.3
6.5,2.3
9.1,2.3
12.7,2.2
9.8,2.3
4.6,2.3
5.5,2.3
8.8,2.3
10.0,2.4
7.7,2.4
11.9,2.5
8.3,2.5
9.2,2.5
9.0,2.5
12.5,2.5
12.8,2.5
7.3,2.5
10.3,2.5
12.5,2.6
11.2,2.6
10.1,2.6
7.7,2.6
11.3,2.7
14.7,2.7
9.5,2.7
2.9,2.7
13.8,2.7
11.2,2.7
11.3,2.8
9.0,2.8
9.0,2.8
9.4,2.8
4.6,2.8
14.4,2.8
13.0,2.9
9.4,2.9
4.8,2.9
13.3,2.9
10.8,2.9
10.8,2.9
15.1,2.9
15.6,2.9
6.8,2.9
7.5,3.0
11.8,3.0
8.6,3.0
12.1,3.0
11.4,3.0
10.0,3.0
5.0,3.0
7.4,3.0
9.5,3.0
13.7,3.1
11.0,3.1
10.4,3.1
6.9,3.1
10.4,3.2
11.1,3.2
11.5,3.2
9.7,3.2
6.1,3.2
7.9,3.3
14.0,3.3
10.6,3.4
4.9,3.4
6.7,3.4
10.6,3.4
7.0,3.5
7.5,3.5
8.9,3.5
6.9,3.5
5.9,3.5
11.8,3.6
11.5,3.6
8.5,3.7
9.1,3.7
7.6,3.8
8.9,3.8
9.7,3.8
11.3,3.8
10.2,3.8
6.7,3.8
12.5,3.9
8.8,3.9
3.9,3.9
6.0,3.9
11.5,3.9
8.5,4.0
14.4,4.0
5.4,4.0
8.2,4.0
5.4,4.1
11.1,4.1
9.7,4.1
11.0,4.1
11.9,4.2
8.1,4.2
11.2,4.2
7.2,4.2
11.3,4.3
8.0,4.3
11.7,4.3
12.6,4.3
10.7,4.4
11.0,4.4
9.0,4.4
10.5,4.4
8.0,4.5
10.0,4.5
8.0,4.5
10.8,4.5
11.5,4.6
4.0,4.6
9.6,3.4
12.1,3.5
6.7,3.5
10.4,3.5
9.9,3.5
9.8,3.5
8.2,3.6
4.0,3.6
10.1,3.7
12.2,3.7
12.4,3.8
9.6,3.8
11.0,3.8
10.3,3.8
10.3,3.8
12.2,3.5
9.5,3.5
11.5,3.5
9.1,3.5
3.3,3.5
10.3,3.6
10.6,3.6
7.2,3.7
9.7,3.7
4.2,3.8
6.6,3.8
11.8,3.8
10.2,3.8
10.0,3.8
9.0,5.3
9.9,5.3
11.5,5.3
6.8,5.3
10.6,5.3
12.9,3.4
12.5,3.4
6.5,3.4
8.5,3.4
10.8,3.4
5.6,3.4
11.2,3.4
11.5,3.4
12.8,3.4
13.0,3.4
9.9,3.4
4.1,3.4
9.3,3.4
8.1,3.5
12.3,3.5
8.9,3.5
11.3,3.5
9.0,3.5
12.6,2.5
12.0,2.5
11.5,2.5
13.8,2.6
10.5,2.6
11.4,2.6
9.9,2.6
9.8,2.7
14.1,2.7
10.0,2.7
2.2,3.9
5.1,3.9
7.0,3.9
